date,timestamp,open,high,low,close
2023-08-26 03:08:00,1692994080000,26001.78,26001.78,26001.77,26001.78
2023-08-26 03:09:00,1692994140000,26001.78,26001.78,25998.01,25998.02
2023-08-26 03:10:00,1692994200000,25998.01,25998.02,25990.0,25990.0
2023-08-26 03:11:00,1692994260000,25990.0,25990.01,25986.0,25986.01
2023-08-26 03:12:00,1692994320000,25986.01,26025.0,25986.0,26025.0
2023-08-26 03:13:00,1692994380000,26025.0,26025.0,26015.01,26015.02
2023-08-26 03:14:00,1692994440000,26015.01,26015.02,26008.0,26008.01
2023-08-26 03:15:00,1692994500000,26008.01,26008.01,26008.0,26008.0
2023-08-26 03:16:00,1692994560000,26008.01,26015.0,26008.0,26015.0
2023-08-26 03:17:00,1692994620000,26015.0,26019.28,26014.99,26019.27
2023-08-26 03:18:00,1692994680000,26019.28,26019.28,26016.01,26016.02
2023-08-26 03:19:00,1692994740000,26016.02,26016.02,26012.39,26015.99
2023-08-26 03:20:00,1692994800000,26016.0,26019.99,26015.99,26019.99
2023-08-26 03:21:00,1692994860000,26019.98,26019.99,26019.98,26019.99
2023-08-26 03:22:00,1692994920000,26019.98,26029.62,26019.98,26029.62
2023-08-26 03:23:00,1692994980000,26029.61,26031.99,26029.61,26031.98
2023-08-26 03:24:00,1692995040000,26031.99,26031.99,26014.11,26014.12
2023-08-26 03:25:00,1692995100000,26014.12,26014.94,26011.79,26011.79
2023-08-26 03:26:00,1692995160000,26011.79,26011.8,26010.37,26010.38
2023-08-26 03:27:00,1692995220000,26010.37,26010.38,26002.2,26002.21
2023-08-26 03:28:00,1692995280000,26002.2,26010.0,25999.1,26009.99
2023-08-26 03:29:00,1692995340000,26010.0,26015.0,26009.99,26015.0
2023-08-26 03:30:00,1692995400000,26014.99,26015.0,26006.0,26006.0
2023-08-26 03:31:00,1692995460000,26006.01,26017.57,26004.01,26017.56
2023-08-26 03:32:00,1692995520000,26017.56,26017.57,26016.0,26016.01
2023-08-26 03:33:00,1692995580000,26016.0,26016.01,25996.87,25996.87
2023-08-26 03:34:00,1692995640000,25996.88,25998.0,25996.87,25997.99
2023-08-26 03:35:00,1692995700000,25997.99,25998.0,25997.99,25997.99
2023-08-26 03:36:00,1692995760000,25998.0,26003.84,25997.99,25998.69
2023-08-26 03:37:00,1692995820000,25998.69,26034.55,25998.68,26022.5
2023-08-26 03:38:00,1692995880000,26022.5,26025.62,26022.49,26024.01
2023-08-26 03:39:00,1692995940000,26024.01,26024.01,26024.0,26024.01
2023-08-26 03:40:00,1692996000000,26024.0,26024.01,26018.59,26018.59
2023-08-26 03:41:00,1692996060000,26018.6,26018.6,26008.85,26008.86
2023-08-26 03:42:00,1692996120000,26008.85,26016.65,26008.85,26016.39
2023-08-26 03:43:00,1692996180000,26016.38,26028.0,26016.38,26027.99
2023-08-26 03:44:00,1692996240000,26027.99,26028.0,26027.99,26028.0
2023-08-26 03:45:00,1692996300000,26027.99,26028.0,26022.5,26022.5
2023-08-26 03:46:00,1692996360000,26022.5,26024.38,26022.5,26024.37
2023-08-26 03:47:00,1692996420000,26024.37,26036.0,26024.37,26034.05
2023-08-26 03:48:00,1692996480000,26034.04,26034.05,26034.04,26034.05
2023-08-26 03:49:00,1692996540000,26034.05,26034.05,26032.54,26032.55
2023-08-26 03:50:00,1692996600000,26032.54,26032.55,26022.5,26022.51
2023-08-26 03:51:00,1692996660000,26022.51,26030.49,26022.45,26028.01
2023-08-26 03:52:00,1692996720000,26028.0,26033.8,26022.0,26033.8
2023-08-26 03:53:00,1692996780000,26033.8,26034.43,26033.79,26034.01
2023-08-26 03:54:00,1692996840000,26034.01,26062.37,26034.0,26059.53
2023-08-26 03:55:00,1692996900000,26059.54,26060.0,26056.0,26060.0
2023-08-26 03:56:00,1692996960000,26059.99,26064.0,26050.39,26064.0
2023-08-26 03:57:00,1692997020000,26064.0,26082.0,26063.99,26077.83
2023-08-26 03:58:00,1692997080000,26077.82,26077.83,26061.31,26061.32
2023-08-26 03:59:00,1692997140000,26061.32,26063.27,26060.84,26060.84
2023-08-26 04:00:00,1692997200000,26060.84,26060.85,26046.4,26046.41
2023-08-26 04:01:00,1692997260000,26046.4,26046.41,26046.4,26046.41
2023-08-26 04:02:00,1692997320000,26046.4,26048.0,26046.4,26047.99
2023-08-26 04:03:00,1692997380000,26047.99,26048.0,26040.77,26040.78
2023-08-26 04:04:00,1692997440000,26040.78,26040.78,26032.21,26032.22
2023-08-26 04:05:00,1692997500000,26032.22,26047.45,26032.0,26044.39
2023-08-26 04:06:00,1692997560000,26044.39,26049.99,26044.39,26048.02
2023-08-26 04:07:00,1692997620000,26048.01,26048.02,26043.19,26043.19
2023-08-26 04:08:00,1692997680000,26043.19,26043.2,26040.49,26040.5
2023-08-26 04:09:00,1692997740000,26040.49,26056.0,26040.49,26056.0
2023-08-26 04:10:00,1692997800000,26056.0,26056.0,26047.17,26047.18
2023-08-26 04:11:00,1692997860000,26047.18,26047.18,26045.95,26045.96
2023-08-26 04:12:00,1692997920000,26045.95,26058.0,26045.95,26058.0
2023-08-26 04:13:00,1692997980000,26058.0,26059.95,26057.99,26058.01
2023-08-26 04:14:00,1692998040000,26058.0,26058.01,26051.06,26053.4
2023-08-26 04:15:00,1692998100000,26053.4,26056.0,26053.39,26055.99
2023-08-26 04:16:00,1692998160000,26056.0,26056.0,26047.13,26047.14
2023-08-26 04:17:00,1692998220000,26047.13,26047.14,26040.26,26040.27
2023-08-26 04:18:00,1692998280000,26040.27,26041.99,26040.26,26041.99
2023-08-26 04:19:00,1692998340000,26041.98,26065.21,26041.98,26065.21
2023-08-26 04:20:00,1692998400000,26065.21,26065.21,26046.33,26048.46
2023-08-26 04:21:00,1692998460000,26048.45,26049.99,26048.45,26049.98
2023-08-26 04:22:00,1692998520000,26049.99,26049.99,26049.98,26049.99
2023-08-26 04:23:00,1692998580000,26049.99,26049.99,26049.98,26049.98
2023-08-26 04:24:00,1692998640000,26049.98,26049.99,26048.94,26048.94
